,open,high,low,close,adjclose,volume,ticker
1998-12-31,4978.3798828125,5509.2998046875,4962.830078125,5345.7099609375,5345.7099609375,0,^GDAXI
1999-01-07,5357.080078125,5485.7900390625,4849.77978515625,4902.75,4902.75,0,^GDAXI
1999-01-14,4882.22998046875,5234.22021484375,4752.81982421875,5163.4501953125,5163.4501953125,0,^GDAXI
1999-01-21,5111.60009765625,5126.93994140625,4880.72998046875,5080.93017578125,5080.93017578125,0,^GDAXI
1999-01-28,5113.009765625,5292.740234375,5051.43994140625,5061.27978515625,5061.27978515625,0,^GDAXI
1999-02-04,5027.81982421875,5174.25,4743.4599609375,4869.2900390625,4869.2900390625,0,^GDAXI
1999-02-11,4961.81982421875,4995.52978515625,4771.43017578125,4871.08984375,4871.08984375,0,^GDAXI
1999-02-18,4886.16015625,5083.4501953125,4775.66015625,4918.5498046875,4918.5498046875,0,^GDAXI
1999-02-25,4930.7099609375,4956.08984375,4601.06982421875,4722.68994140625,4722.68994140625,0,^GDAXI
1999-03-04,4762.72998046875,4885.02001953125,4696.009765625,4785.3701171875,4785.3701171875,0,^GDAXI
1999-03-11,5006.81005859375,5128.669921875,4968.31005859375,5025.7900390625,5025.7900390625,0,^GDAXI
1999-03-18,5066.85009765625,5162.740234375,4749.89990234375,4863.81005859375,4863.81005859375,0,^GDAXI
1999-03-25,4889.759765625,4916.89990234375,4732.0400390625,4901.81005859375,4901.81005859375,0,^GDAXI
1999-04-01,4966.77978515625,5078.0,4927.39990234375,5067.759765625,5067.759765625,0,^GDAXI
1999-04-08,5097.02001953125,5233.02001953125,5064.6298828125,5189.72021484375,5189.72021484375,0,^GDAXI
1999-04-15,5172.93017578125,5261.580078125,5082.2099609375,5226.64013671875,5226.64013671875,0,^GDAXI
1999-04-22,5256.5400390625,5371.080078125,5177.830078125,5323.06005859375,5323.06005859375,0,^GDAXI
1999-04-29,5318.27001953125,5452.8701171875,5265.83984375,5275.56982421875,5275.56982421875,0,^GDAXI
