,open,high,low,close,adjclose,volume,ticker
2020-06-02,11896.7001953125,12055.5703125,11850.33984375,12021.2802734375,12021.2802734375,143102700,^GDAXI
2020-06-03,12147.1201171875,12507.41015625,12133.7001953125,12487.3603515625,12487.3603515625,152036900,^GDAXI
2020-06-04,12390.0302734375,12558.240234375,12326.4404296875,12430.5595703125,12430.5595703125,138856600,^GDAXI
2020-06-05,12565.16015625,12858.7900390625,12560.1904296875,12847.6796875,12847.6796875,168928500,^GDAXI
2020-06-08,12722.6796875,12913.1298828125,12670.9501953125,12819.58984375,12819.58984375,140371700,^GDAXI
2020-06-09,12859.830078125,12864.91015625,12502.4501953125,12617.990234375,12617.990234375,145984300,^GDAXI
2020-06-10,12719.150390625,12763.8896484375,12471.0595703125,12530.16015625,12530.16015625,112489400,^GDAXI
2020-06-11,12223.419921875,12301.9501953125,11970.2900390625,11970.2900390625,11970.2900390625,133278800,^GDAXI
2020-06-12,11876.33984375,12172.6298828125,11828.66015625,11949.2802734375,11949.2802734375,118016300,^GDAXI
2020-06-15,11661.3603515625,11968.0595703125,11597.8203125,11911.349609375,11911.349609375,99879200,^GDAXI
2020-06-16,12168.3701171875,12434.26953125,12132.7998046875,12315.66015625,12315.66015625,122780400,^GDAXI
2020-06-17,12312.4404296875,12432.23046875,12288.169921875,12382.1396484375,12382.1396484375,102040400,^GDAXI
2020-06-18,12347.490234375,12483.83984375,12189.669921875,12281.5302734375,12281.5302734375,154821700,^GDAXI
2020-06-19,12375.1796875,12447.150390625,12319.1904296875,12330.759765625,12330.759765625,227975200,^GDAXI
2020-06-22,12194.48046875,12399.3701171875,12172.1201171875,12262.9697265625,12262.9697265625,91977200,^GDAXI
2020-06-23,12360.08984375,12616.1201171875,12332.099609375,12523.759765625,12523.759765625,113421700,^GDAXI
2020-06-24,12459.8095703125,12489.240234375,12093.9404296875,12093.9404296875,12093.9404296875,102775200,^GDAXI
2020-06-25,12102.25,12236.4599609375,11957.3095703125,12177.8701171875,12177.8701171875,128245800,^GDAXI
2020-06-26,12308.48046875,12347.4501953125,12060.8896484375,12089.3896484375,12089.3896484375,111965200,^GDAXI
2020-06-29,12090.41015625,12297.6796875,12045.259765625,12232.1201171875,12232.1201171875,121308400,^GDAXI
2020-06-30,12287.9404296875,12350.349609375,12188.08984375,12310.9296875,12310.9296875,124633200,^GDAXI
2020-07-01,12391.7197265625,12391.7197265625,12095.1103515625,12260.5703125,12260.5703125,81131500,^GDAXI
2020-07-02,12378.7998046875,12658.169921875,12370.7197265625,12608.4599609375,12608.4599609375,103857000,^GDAXI
2020-07-03,12644.599609375,12649.98046875,12476.1298828125,12528.1796875,12528.1796875,54014400,^GDAXI
